time,latitude,longitude,depth,mag,mag_type,net,string_id,place,horizontal_error,mag_error,mag_nst,location_source
2022-06-16T18:53:51.210Z,33.181,-116.4985,20.56,2.14,ml,ci,ci40285400,"14km SW of Borrego Springs, CA",2.06,0.207,13,ci
2022-06-16T18:37:51.092Z,38.1634,-117.8044,13.3,1.1,ml,nn,nn00841027,"36 km SE of Mina, Nevada",,0.39,5,nn
2022-06-16T18:35:41.920Z,39.434,-110.3143333,-1.12,1.45,md,uu,uu60502037,"14 km SSE of Sunnyside, Utah",1.45,0.14,6,uu
2022-06-16T18:29:21.236Z,18.429,-81.74,10,5,mb,us,us7000hhxe,"102 km SSW of George Town, Cayman Islands",6.8,0.025,508,us
2022-06-16T18:01:09.783Z,57.3874,-153.2903,2.3,1.4,ml,ak,ak0227ohgztu,"20 km N of Old Harbor, Alaska",,,,ak
2022-06-16T17:58:34.410Z,35.1836667,-118.988,12.52,3.09,ml,ci,ci40285368,"11km SW of Lamont, CA",0.2,0.154,251,ci
2022-06-16T17:57:28.769Z,62.5205,-151.3137,78.4,1.3,ml,ak,ak0227oh7lsc,"28 km W of Petersville, Alaska",,,,ak
2022-06-16T17:57:12.230Z,38.3166667,-112.7898333,7.89,1.38,ml,uu,uu60502032,"13 km WNW of Beaver, Utah",0.41,0.117,3,uu
2022-06-16T17:45:59.598Z,38.1721,-117.8199,8.2,1.9,ml,nn,nn00841020,"35 km SE of Mina, Nevada",,0.32,9,nn
2022-06-16T17:44:52.524Z,38.1726,-117.8196,7.8,1.8,ml,nn,nn00841017,"34 km SE of Mina, Nevada",,0.92,6,nn
2022-06-16T17:34:55.520Z,33.489,-116.4763333,12.31,1.76,ml,ci,ci40285344,"20km ESE of Anza, CA",0.14,0.173,25,ci
2022-06-16T17:23:36.000Z,38.8221664,-122.7998352,8.35,1.98,md,nc,nc73746291,"6km NW of The Geysers, CA",0.8,1.14,2,nc
2022-06-16T17:11:51.020Z,38.8251648,-122.8031693,1.55,1.56,md,nc,nc73746281,"7km NW of The Geysers, CA",0.17,0.08,10,nc
2022-06-16T17:07:39.950Z,37.4706667,-118.6708333,7.21,1.04,md,nc,nc73746276,"9km NW of Round Valley, CA",0.49,0.188,11,nc
2022-06-16T17:02:19.088Z,63.3123,-145.4148,7.7,1.2,ml,ak,ak0227ogvsno,"26 km NNE of Paxson, Alaska",,,,ak
2022-06-16T16:55:23.108Z,38.1723,-117.8226,7.9,4.5,ml,nn,nn00841009,"34 km SE of Mina, Nevada",,0.17,9,nn
2022-06-16T16:27:02.830Z,33.3468333,-116.9473333,14.9,0.99,ml,ci,ci40285208,"8km W of Palomar Observatory, CA",0.15,0.125,19,ci
2022-06-16T16:26:24.087Z,33.258,142.1175,10,4.4,mb,us,us7000hhwp,"267 km SE of Katsuura, Japan",8.6,0.085,50,us
2022-06-16T16:23:29.490Z,17.91733333,-66.92866667,11.05,2.29,md,pr,pr71354363,"6 km SSW of Guánica, Puerto Rico",0.98,0.019393336,4,pr
2022-06-16T16:21:30.302Z,62.6097,-151.7684,2.9,1.2,ml,ak,ak0227ogegiu,"53 km WNW of Petersville, Alaska",,,,ak
2022-06-16T15:58:05.900Z,37.6463333,-119.4378333,17.67,2.55,md,nc,nc73746246,"16km SE of Yosemite Valley, CA",0.67,0.172,22,nc
2022-06-16T15:51:25.789Z,33.9664,134.5466,33.3,5,mww,us,us7000hhvk,"5 km SW of Komatsushimachō, Japan",5.8,0.08,15,us
2022-06-16T15:43:30.486Z,60.5246,-152.5302,84.1,1.1,ml,ak,ak0227ofxqoo,"67 km W of Salamatof, Alaska",,,,ak
2022-06-16T15:20:07.116Z,61.5775,-153.8606,0.1,1.4,ml,ak,ak0227ofsrev,"87 km ENE of Lime Village, Alaska",,,,ak
2022-06-16T15:17:44.240Z,36.0401667,-117.777,2,1.42,ml,ci,ci40041415,"15km E of Coso Junction, CA",0.14,0.286,5,ci
2022-06-16T15:09:01.942Z,29.28131104,-97.44381893,3.692667643,2.9,ml,tx,tx2022lsln,"18 km E of Smiley, Texas",1.680771976,0.1,12,tx
2022-06-16T15:06:43.730Z,19.24583244,-155.4019928,29.23999977,1.75999999,md,hv,hv73045872,"9 km ENE of Pāhala, Hawaii",0.64,0.879999995,3,hv
